Issue key	Issue id	Issue Type	Assignee	Status	Sprint	Requirement	Summary	Acceptance Scenario ID	Acceptance Scenario	Automated?	<eol>
								10.10.20.1688.h	"Scenario: Applicant Management report may be filtered by Email Column
Given I am on the Applicant Management Report
When I press the Email column header
Then the system will sort the report results by Email "		<eol>
								10.10.20.1688.i	"Scenario: Applicant Management report may be filtered by Last Access Date Column
Given I am on the Applicant Management Report
When I press the Last Access Date column header
Then the system will sort the report results by Last Access Date"		<eol>
								10.10.20.1688.j	"Scenario: Applicant Management report may be filtered by Combination of column filters
Given I am on the Applicant Management Report
And I have activated a previous column filter
When I activate an additional column filter
Then the system will sort the report results by the previous flter(s)
And the last activated filter"		<eol>
CEN-1687	131746	Story	cdyess	Backlog	CEN Sprint 9		Admin Portal - Search Incomplete Applicant Report				<eol>
								10.10.20.1687.a	"Scenario: Ability to search incomplete applicant records by email
Given I am an authorized user on the Applicant Management Report
And I have entered a character string in the email search field
When I press the ""Search"" button
Then the system will only display records with emails matching that email search string"		<eol>
								10.10.20.1687.b	"Scenario: Ability to search incomplete applicant records by last name
Given I am an authorized user on the Applicant Management Report
And I have entered a character string in the Last Name search field
When I press the ""Search"" button
Then the system will only display records with Last Names matching that Last Name search string"		<eol>
								10.10.20.1687.c	"Scenario: Ability to search incomplete applicant records by zip code
Given I am an authorized user on the Applicant Management Report
And I have entered a number string in the zip code search field
When I press the ""Search"" button
Then the system will only display records with zip codes matching that zip code search string"		<eol>
								10.10.20.1687.d	"Scenario: Ability to search incomplete applicant records by state
Given I am an authorized user on the Applicant Management Report
And I have entered a character string in the state search field
When I press the ""Search"" button
Then the system will only display records with state matching that state search string"		<eol>
								"10.10.20.1687.e
"	"Scenario: Ability to search incomplete applicant records by combination of search options
Given I am an authorized user on the Applicant Management Report
And I have entered a character string in multiple search fields
When I press the ""Search"" button
Then the system will only display records with values relevant to the search specifications"		<eol>
								10.10.20.1687.f	"Scenario: Alert when applicant management report search results show less than the total number applicants with incomplete applications/assessments applicable to that search
Given I am in the Applicant Management report
And I have entered search parameters
And there are more than 10,000 applicants with incomplete applications/assessments relevant to that search
When I press the Search button
Then the system will display a report with up to 10,000 applicants with incomplete application/Assessments relevant to the search parameters
And the system will display an alert , ""There are more than 10,000 records of applicants with incomplete applications/assessments, please refine your search to find the information needed."""		<eol>
CEN-1689	131756	Story	cdyess	Backlog	CEN Sprint 9	10.10.20	Admin Portal - Incomplete applicant name on report is link to download PDF of incomplete application				<eol>
								10.10.20.1689.a	"Scenario: Name of Applicant on Applicant Management Report is a hyperlink to applicant detail
Given I am on the Applicant Management report
When I press an Applicant Name hyperlink
Then the system will take me to a detailed read-only report, in the same tab, for the information that applicant has provided
And the SSN and birthdate will be masked if provided by the applicant"		<eol>
								10.10.20.1689.b	"Scenario: Back to Applicant management link navigates user back to Applicant Management from Applicant Detail
Given I am on the Applicant Detail
When I press Back to Applicant Management
Then the system will take me back to Applicant Management report"		<eol>
CEN-54	122855	Story	jmoore	Closed	CEN Sprint 7	10.20.100	Applicant Portal provides access to Application Statuses prior to DAPPS status return				<eol>
								10.20.100.54.a	"Scenario: First status for candidate R&A entry
Given I am a prospective candidate
And I have just registered to R&A for the first time
When l Submit my Zip Code for registration completion
Then the system must display the following status:
""Application Not Yet Started - You have created an account, but not yet filled out the application"""		<eol>
								10.20.100.54.b	"Scenario: status for candidate that has started but not completed application
Given I have started my application
AND I have not completed my application
When I press ""Save and Exit"" on an Application page
Then the system must display the following status on my R&A applicant portal:
""Application in Progress - You have not completed the application"""		<eol>
								10.20.100.54.c	"Scenario: status for applicant that completes application but not required assessments
Given I have e-signed my application
When I press ""Save and Exit"" on an Application page
Then the system must display the following status on my R&A applicant portal:
""Application in Progress - You have not taken all of the required assessments for the position(s) you have indicated on the application."""		<eol>
								10.20.100.54.d	"Scenario: status for applicant that completes required assessments
Given I have completed all my required assessments
When I press ""E-Sign and Continue"" on my last assessment
Then the system must display the following status on my R&A applicant portal:
""Application Submitted - You have submitted your application and all required assessments."""		<eol>
CEN-1447	125910	Story	jvega	Closed	CEN Sprint 6	10.20.140	"Develop form: ""Record of Employee Address""  (CD-415)"	10.20.140.a	"
 Applicant Completes CD415
English
Given that I have passed my background check
And Onboarding Forms become available
And the culture setting on my browser is English
When I access the form, I see English text
Then I can enter my data in English
And submit it.
"		<eol>
CEN-1448	125911	Story	mpatel	Closed	CEN Sprint 6	10.20.140	"Develop form:  FLD-168 ""New Employee Data""  - English"	10.20.140.a 	"Applicant Completes FLD-168 - English
Given that I have passed my background check
And Onboarding Forms become available
And the culture setting on my browser is English
When I access the form, I see English text
Then I can enter my data in English
And submit it."		<eol>
CEN-1380	124184	Story	cdyess	Closed	CEN Sprint 7	10.20.140	Onboarding - Save/Print PDF Version of BC-170D	10.20.140.1814.a	"Applicant Sees Link for PDF of BC-170D - not ready
Given that I have completed and e-signed the BC-170D
When I go back to the Applicant Portal
Then I will see a link to download my copy
And am notified that my copy is still generating."		<eol>
								10.20.140.1814.b	"Applicant Clicks Link for PDF of BC-170D
Given that I have completed and e-signed the BC-170D
When I go back to the Applicant Portal
And enough time has passed for my copy to be generated
Then I can click on the link to download my copy for saving or printing."		<eol>
CEN-1385	124189	Story	cdyess	Awaiting QA	CEN Sprint 8	10.20.140	Onboarding - Save/Print PDF Version of SF-85	10.20.140.a	"Applicant Saves PDF of SF-85
Given that I have completed the SF-85
When I submit my form
Then I am taken back to the Applicant Portal
And see indication that a copy of my form is being generated
And can access my copy once it is generated and I can save it."		<eol>
								10.20.140.b 	"Applicant Prints PDF of SF-85
Given that I have completed the SF-85
When I submit my form
Then I am taken back to the Applicant Portal
And see indication that a copy of my form is being generated
And can access my copy once it is generated and I can print it."		<eol>
CEN-97	122898	Story	mpatel	Closed	CEN Sprint 7	10.20.150	Application - Under 18 warning message	10.20.150.656.a	"Scenario : Warning if applicant under 18
Given I am on the application
And I enter a birthdate signifying an age under 18
And I save this page
Then I will see a warning"		<eol>
											<eol>
CEN-13	122814	Story	mpatel	Closed	CEN Sprint 7	10.20.50	User Views Career Site	" 10.20.50.13.a
"	"Scenario: the Career Site Page view
Given I am on the career site page
When I view the page title
Then the title will read ""Career Site"""		<eol>
								10.20.50.13.b	"Scenario: User can access the self service links to the portal
Given I am on the career site
Then I can access the Help Section"		<eol>
								" 10.20.50.13.c
"	"Scenario: User can view information on types of roles
Given I am on the career site
Then I can view details about the Job"		<eol>
								"  10.20.50.13.e
"	"Scenario: User can access the self service links to the portal
Given I am on the career site
Then I can access the FAQs"		<eol>
											<eol>
CEN-1673	131608	Story	mpatel	Closed	CEN Sprint 8	10.20.60	Registration - Log Out of Applicant Portal 	10.20.60.82.a	"
Scenario: Logout link
Given I am logged into the Applicant Portal
Then I can see logout

"		<eol>
								10.20.60.82.b	"Scenario: Logout and on Career site
Given I am logged into the Applicant Portal
And I  logout
Then I want to be on the career site
"		<eol>
								10.20.60.82.c	"Scenario: Logout and login
Given I am logged into the Applicant Portal
And I  logout
And I login to the Applicant Portal
Then I am on the Applicant Portal"""		<eol>
CEN-26	122827	Story	croberson	Closed	CEN Sprint 7	10.20.60	Registration - CSOD - User can reset their password before login	10.20.60.32.a	"
Scenario: Forgot Password form
Given I select """"Forgot my password,"""" 
Then I am prompted for login email address.
"		<eol>
								10.20.60.32.b	"
Scenario: Forgot Password erorrs
 Given I select """"Forgot my password,"""" 
And I am prompted the candidate for their email
When I select a password change verification email with an empty email field
Then I will see the error """"Email Information required.""""
"		<eol>
								10.20.60.32.c	"
Scenario: Forgot Password erorrs 
Given I select """"Forgot my password,"""" 
AND I am prompted for the email
When I selects a password change verification email with an invalid email syntax 
Then I see confirmation message
And I do not receive an email
"		<eol>
								10.20.60.32.f	"
Scenario: Validate email lik
 Given I received a password change email
And I initiate the password change from the link in the email 
Then I must be directed to Pre Login Password Change page. 

"		<eol>
								10.20.60.32.g	"Scenario: incorrect syntax for password change
Given I am on the Pre Login Password Change Page
And the password entered does not satisfy syntax requirement
 When I Submit
Then the system will show error"		<eol>
								10.20.60.32.h	"
Scenario: Password required error 
 Given I am  on the Pre Login Password Change Page
And I submit a blank form
Then the system will generate an alert, """"Please provide a matching password in each field."""" 
"		<eol>
								10.20.60.32.i	"
Scenario: Password mismatch
Given I am  on the Pre Login Password Change Page, when the candidate submits a form with unmatched passwords
Then I see an error message """"Please provide a matching password in each field."""" 
"		<eol>
								10.20.60.32.j	"
Scenario: Password provided
Given I am on the Pre Login Password Change Page
And I  submit a form with matching passwords
Then I will direct candidate to login with the new password.
"		<eol>
CEN-22	122823	Story	mpatel	Closed	CEN Sprint 7	10.20.60	Registration(CSOD) - Candidate Logs into Applicant Portal	10.20.60.29.a	"
Scenario: Complete subsequent login with errors
Given I want to Login to access the Applicant Portal
And I  do not specify the login cridentials 
And I want to login
Then I see an error message 
"		<eol>
								10.20.60.29.b	"
Scenario :Complete subsequent login with errors on emailaddress
Given I want to Login to access the Applicant Portal
And I specify invalid login credentials for email address
And I want to login
Then I must see an error message

"		<eol>
								10.20.60.29.c	"
Scenario :Complete first time login with errors on password
Given I  want to access Applicant Portal without starting from the email link for first time login 
And I specify invalid login credentials for password
And I want to login
Then I must see an error message
"		<eol>
								10.20.60.29.d	"
Scenario :Complete login
Given I  want to access Applicant Portal without starting from the email link for first time login 
And I specify valid login credentials for email address
Then I must be taken to the Applicant Portal'
"		<eol>
CEN-19	122820	Story	mpatel	Closed	CEN Sprint 7	10.20.60	User/Prospective Candidate Chooses to Login or Register	10.20.60.19.a	"Scenario: Career Site has access to Register
Given I am a user on the Career Site When I select, ""First Time Applicants Create a Profile Here,""
Then the system directs me to the registration page"		<eol>
								10.20.60.19.b	"Scenario: Career Site has access for current candidates to login
Given I am a user on the Career Site When I select, ""Returning Applicants Log In Here,""
Then the system directs me to the Applicant Portal page for Login."		<eol>
											<eol>
CEN-1096	123900	Story	mpatel	Closed	CEN Sprint 7	10.20.80	Application - Candidate enters language and transportation info (Sections C-E/Page 8)	10.20.80.456.a	"Given I have provided Language and Transportation
And I click Next
Then I can proceed forward to the Race and Origin"		<eol>
								10.20.80.456.b	"Given I have provided Language and Transportation
And I click Save Exit
Then I am on the Applicant Portal"		<eol>
								10.20.80.456.c	"Given I have provided Language and Transportation
And I click Previous
Then I am on the Emplyment Experience
And my previous selections are still visible"		<eol>
								10.20.80.456.d	"Given I have not provided Language and Transportation
And I click Previous
Then I must see errors for all required fields"		<eol>
								10.20.80.456.e	"Given I have not provided Language and Transportation
And I click Next
Then I must see errors for all required fields"		<eol>
								10.20.80.456.f	"Given I have not provided Language and Transportation
And I click Save and Exit
Then I must see errors for all required fields"		<eol>
CEN-1086	123890	Story	mpatel	Closed	CEN Sprint 6	10.20.80	Application - Candidate enters federal employment info (Section B/Page 5)	10.20.80.454.a	"Given I am on the Applicant Portal
And I want to complete my Federal Employment Details 
Then I am able to specify the Federal Employment Details"		<eol>
								10.20.80.454.b	"Given I am on the Applicant Portal
And I have unsatisfied Federal Employment Fields
Then I will see an error on save"		<eol>
CEN-105	122906	Story	mpatel	Closed	CEN Sprint 7	10.20.80	Application - Electronic Signature	"10.20.80.763.a
"	"Scenario: Candidate is able to see this Section
Given I am on the application
Then I must see this section"		<eol>
								"10.20.80.763.b
"	"Scenario: Electronic Signature Warning
Given I am on the application
And I press ""Electronically Sign""
Then I must see this Warning"		<eol>
								"10.20.80.763.c
"	"Scenario: Decline proceeding with Electronic Signature
Given I am on the application
And I see Electronic Signature warning
And I press Cancel
Then the system must close warning"		<eol>
								"10.20.80.763.d

"	"Scenario: Proceed with Electronic Signature
Given I am on the application
And I see Electronic Signature warning
 When I press OK
Then the system will show these items below ""Electronically Sign"" button
Signature/Date Table with applicant's name and the date they signed
New Paragraph in bold - ""Thank you for providing your electronic signature!"""		<eol>
								"10.20.80.763.e
"	"Scenario: Continue with application process
Given I am on the application Electronic signature Page
When I press ""Continue Application Process""
Then the system will navigate me to the applicant portal"		<eol>
CEN-1091	123895	Story	mpatel	Closed	CEN Sprint 6	10.20.80	"Application - Candidate enters previous work experience info (Section C, Page 6-7)"	10.20.80.455.a	"Given I have provided Employment Experience
And I click Save 
Then I am able to save"		<eol>
								10.20.80.455.b	"Given I have provided Employment Experience
And I click Save 
Then I am able to save"		<eol>
								10.20.80.455.c	"Given I have provided Employment Experience
And I click Previous
Then I am on the Available Hours
And my previous selections are still visible"		<eol>
								10.20.80.455.e	"Given I have not provided Employment Experience
And I click Next
Then I must see errors for all required fields"		<eol>
								10.20.80.455.f	"Given I have not provided Employment Experience
And I click Save and Exit
Then I must see errors for all required fields"		<eol>
CEN-43	122844	Story	michaelsherburne	Closed		10.20.80	Applicant Portal provides access to start application process	10.20.80.36.a	"Scenario: Choice to select positions
Given I am a new candidate when I log into the applicant portal
Then I have choice for positions"		<eol>
								10.20.80.36.b	"Scenario: Choice to select positions
Given I am a new candidate when I log into the applicant portal
And I specify Decinnial Positions
Then I can start my application"		<eol>
CEN-1060	123864	Story	michaelsherburne	Closed		10.20.80	Candidate sees Application Introduction	10.20.80.450.a	"Scenario: Display OMB text
Given I am on the Applicant Portal
Then I see expanded sections for Duties, Training, When you will work, Pay, How can you qualify for census work?, Census jobos!, and the Privacy Act and Burden Statement"		<eol>
								10.20.80.450.b	"Scenario: OMB text hiding
Given I am on the Applicant Portal
And I see expanded sections for Duties, Training, When you will work, Pay, How can you qualify for census work?, Census jobs!, and the Privacy Act and Burden Statement
Then I can collapse sections to hide text"		<eol>
											<eol>
CEN-116	122917	Story	mpatel	Closed	CEN Sprint 7	10.30.10	Registration - Password/Account Validation	10.30.10.26.a	"Scenario: Password Mismatch
Given I am want to complete Registration
And I have provided account creation information
And I specify mismatched Passwords
Then I must see an error message"		<eol>
								10.30.10.26.b	"Scenario: Password Format Incorrectly
Given I am want to complete Registration
And I have provided account creation information
And I specify invalid format <Passwords>
Then I must see an error message"		<eol>
								10.30.10.26.c	"Scenario: existing account cannot be recreated
Given I want to complete Registration
And I have provided an email matching that of an existing account
 And have satisfied all other fields
And I submit
Then I must see an error message"		<eol>
											<eol>
CEN-141	122942	Story	mpatel	Closed	CEN Sprint 7	10.30.20	Cornerstone - Registration Page Email fields Validate Email	10.30.20.80.a	"Scenario: Invalid Email Syntax
Given I am want to complete Registration
And I  have provided  account creation information
And I specify illformed <email address>
Then I must see an error message 
"	yes	<eol>
								10.30.20.80.b	"Scenario: Email Address Mismatch
Given I am want to complete Registration
And I  have provided  account creation information
And I specify mismatched email address 
Then I must see an error message "	yes	<eol>
								10.30.20.80.c	"Scenario :  Email Address match
Given I am want to complete Registration
And I  have provided  account creation information
And I specify matched email address 
Then I must be able to provide password"	yes	<eol>
								10.30.20.80.d	"Scenario: Email already existing
Given I am want to complete Registration
And I  have provided  account creation information 
And I provide an exisitng email address
And I complete account creation
Then I should see an error'"	yes	<eol>
											<eol>
CEN-1670	131602	Story	rbeery	In Dev	CEN Sprint 8	10.30.30	Registration - Determine OU to Authorization Mapping	"10.30.30.1670.a
"	"Scenario: Error on entering more than 5 digits into registration zip code field
Given I am on the zip code entry screen for registration
When I enter 6 or more numbers into the zip code field
Then the system will show alert in red, ""Please enter valid zip code. Zip code must have exactly 5 digits (xxxxx)""
And the system will not allow me to submit this entry to complete my registration"		<eol>
								10.30.30.1670.b	"Scenario: Error on entering letters into registration zip code field
Given I am on the zip code entry screen for registration
When I enter letters into the zip code field
Then the system will show alert in red, ""Please enter valid zip code. Zip code must have exactly 5 digits (xxxxx)""
And the system will not allow me to submit this entry to complete my registration"		<eol>
								"10.30.30.1670.c
"	"Scenario: Error on entering special characters into registration zip code field
Given I am on the zip code entry screen for registration
When I enter special characters into the zip code field
Then the system will show alert in red, ""Please enter valid zip code. Zip code must have exactly 5 digits (xxxxx)""
And the system will not allow me to submit this entry to complete my registration"		<eol>
								"10.30.30.1670.d
"	"Scenario: Error on entering special characters into registration zip code field
Given I am on the zip code entry screen for registration
When I enter 4 or less numbers into the zip code field
Then the system will show alert in red, ""Please enter valid zip code. Zip code must have exactly 5 digits (xxxxx)""
And the system will not allow me to submit this entry to complete my registration"		<eol>
								"10.30.30.1670.e
"	"Scenario: Ability to submit 5 numbers on registration zip code field and complete registration
Given I am on the zip code entry screen for registration
When I enter 5 numbers into the zip code field
Then the system will allow me to submit this entry without error 
And the system will navigate me to the R&A applicant portal"		<eol>
CEN-143	122944	Story		Closed	CEN Sprint 7	10.30.30	Registration - Verification Email Link Directs Prospective Candidate to Candidate Verification Login	10.30.30.81.a	"
Scenario: First Time Login for Email validation
Given I  want to access the Applicant Portal for the first time 
And I  have clicked on the link in email 
Then I must be taken to the Candidate Verification Login



"		<eol>
								10.30.30.81.b	"Scenario: Complete first time login with errors
Given I am on the Candidate Verification Login
And I  do not specify the login cridentials 
And I want to login
Then I see an error message "		<eol>
CEN-81	122882	Story	jmoore	Awaiting QA	CEN Sprint 8	10.30.30	Registration - Handle Expired email verification 	10.30.30.600.a	"Scenario: expired email Link
Given I have an expired registration Email Validation Link
And I click on the link
And I am taken to R&A
Then I see an Invlaid Link message
And I see a link to resend the email link"		<eol>
								10.30.30.600.b	"Scenario: new link sent
Given I resend an account confirmation link via email from R&A page
 Then the system will send a new link"		<eol>
								10.30.30.600.c	"Scenario: new link goes to zip code verification page
Given I access a resent confirmation link before it expires
Then the link will take me to the R&A zip code verification screen"		<eol>
											<eol>
CEN-155	122956	Story	jmoore	Closed	CEN Sprint 7	10.30.40	Application - Update after submission	"10.30.40.657.a
"	"Scenario: Applicant can change address
Given I have submitted an application
And I need to change my address
And my status is not ""hired""
And I have accessed my application
And I update my address
And I e-sign
Then the solution will show validation this change was made"		<eol>
								"10.30.40.657.b
"	"Scenario: Edit Application button hidden for Hired user
Given my status is hired
And I need to change my address
 Then button for ""Edit Application"" is hidden"		<eol>
								"10.30.40.657.c
"	"Scenario: Applicant can edit application after submission
Given I have submitted an application
And I need to edit anything but SSN or Email
And my status is not ""hired""
And I have accessed my application
And I edit my application
And I e-sign
Then the solution will show validation this change was made"		<eol>
								"10.30.40.657.d
"	"Scenario: Applicant cannot edit ssn after submission
Given I have submitted an application
And I need to edit SSN
And my status is not ""hired""
And I have accessed my application
 Then the solution will show SSN field as disabled"		<eol>
								"10.30.40.657.e
"	"Scenario: Applicant cannot edit ssn after submission
Given I have submitted an application
And I need to edit Email
And my status is not ""hired""
And I have accessed my application
 Then the solution will show Email field as disabled"		<eol>
CEN-157	122958	Story	mpatel	Closed	CEN Sprint 6	10.40.10	Application enables candidate to apply for multiple positions (Section B/Page 4)	10.40.10.84.a	"Scenario: Position Selection Section
Given I am on the Application
Then I must see this section"		<eol>
								10.40.10.84.b	"Scenario: Position Selection Section Required
Given I am on the Application
And I want to skip section
Then I must see an error"		<eol>
								10.40.10.84.c	"Scenario: One Position Section Selection
Given I am on the Application
And I make one section selection
Then I must see selection made"		<eol>
								10.40.10.84.d	"Scenario: All Position Section Selections
Given I am on the Application
And I make all section selection
Then I must see all selection made"		<eol>
CEN-193	122995	Story	jmoore	Closed	CEN Sprint 7	10.40.118	Application captures Veteran's preference for candidates (Section A/Page 3)	10.40.118.92.a	"Scenario: Veteran's Preference Selection Section
Given I am on the Application
Then I must see this section"		<eol>
								10.40.118.92.b	"Scenario: 12b required if 12a is yes
Given I am on the Application
And I input yes for 12a
And I skip section 12b
Then I must see an error"		<eol>
								10.40.118.92.c	"Scenario: 12 b completed if 12a is yes
Given I am on the Application
And I input yes for 12a
And I complete section 12b
And I want to proceed
Then I must proceed"		<eol>
								10.40.118.92.d	"Scenario: 12b field requirements
Given I am on the Application
And I input unallowed data into 12b fields
Then I must see an error"		<eol>
								10.40.118.92.e	"Scenario: 12b field requirements
Given I am on the Application
And I have specified my Vetran Preference
Then I must be able to provide any attachments"		<eol>
CEN-232	123034	Story		Closed		10.40.130	Candidate sees Privacy Act and Public Burden statements (Intro Page)	10.40.130.104.a	"Scenario: Privacy Act Statement and Public burden
Given I have stated my application
Then I can see the Privacy Act Statement and Public Burden"		<eol>
CEN-224	123026	Story	dsanchez	Closed	CEN Sprint 6	10.40.140	"Application - Candidate indicates race, origin and disability status (Section F-G/Page 9)"	10.40.140.102.a	"Scenario: Ethnicity, Race, Disability
Given I am on the Application
Then I must see this section"		<eol>
								10.40.140.102.b	"Scenario: Skip Ethnicity, Race, Disability Error
Given I am on the Application
And I want to skip section
Then I must see error "		<eol>
								10.40.140.102.c	"Scenario: Ethnicity, Race, Disability Section Selection
Given I am on the Application
And I make section selection
Then I must see selection made"		<eol>
								10.40.140.102.d	"Scenario: No Disability Selection
Given I am on the Application
And I make no selection on Disability
And I make selection ""None of the conditions listed above apply to me""
And I want to submit application
Then I must submit application"		<eol>
CEN-199	123001	Story		Closed	CEN Sprint 6	10.40.170	Candidate edits application	10.40.170.95.a	"Scenario: Application allows edits
Given I saved an application
And I have accessed the saved application
Then I can make edits"		<eol>
CEN-1741	139663	Story		Backlog	CEN Sprint 9	10.40.190	Applicant Status - Email to Applicant on Status Update - DAPPS	"10.40.190.1410.a
"	"Scenario: Status change Email sent when DAPPS sets status to Available
Given I am an applicant for the US Census
And I have submitted my application/assessments
When DAPPS sets my status to available
Then the system will send me the status change email."		<eol>
								10.40.190.1410.b	"Scenario: Status change Email sent when DAPPS sets status to Selected - You have been offered a job.  You must complete the following forms for a background investigation.
Given I am an applicant for the US Census
When DAPPS sets my status to ""Selected - You have been offered a job.  You must complete the following forms for a background investigation.""
Then the system will send me the status change email."		<eol>
								10.40.190.1410.c	"Scenario: Status change Email sent when DAPPS sets status to Selected - Background forms received.  You must make an appointment to have your fingerprints taken by the vendor.
Given I am an applicant for the US Census
When DAPPS sets my status to ""Selected - Background forms received.  You must make an appointment to have your fingerprints taken by the vendor.""
Then the system will send me the status change email."		<eol>
								"10.40.190.1410.d
"	"Scenario: Status change Email sent when DAPPS sets status to Selected - Background investigation completed.  You must complete the following forms
Given I am an applicant for the US Census
When DAPPS sets my status to ""Selected - Background investigation completed.  You must complete the following forms""
Then the system will send me the status change email."		<eol>
								"10.40.190.1410.e
"	"Scenario: Status change Email sent when DAPPS sets status to Hired
Given I am an applicant for the US Census
When DAPPS sets my status to ""Hired""
Then the system will send me the status change email."		<eol>
								"10.40.190.1410.f
"	"Scenario: Status change Email sent when DAPPS sets status to Ineligible
Given I am an applicant for the US Census
When DAPPS sets my status to ""Ineligible""
Then the system will send me the status change email."		<eol>
								"10.40.190.1410.g
"	"Scenario: Status change Email sent when DAPPS sets status to Experienced
Given I am an applicant for the US Census
When DAPPS sets my status to Experienced
Then the system will send me the status change email."		<eol>
CEN-1410	125379	Story		Backlog	CEN Sprint 9	10.40.190	Applicant Status - Email to Applicant on Status Update - Internal R&A	"10.40.190.1410.a
"	"Scenario: Status change Email sent when Candidate begins application
Given I am a candidate on the applicant portal
When I start my application for the first time
Then the system will send me the status change email
"		<eol>
								"10.40.190.1410.b
"	"Scenario: Status change Email sent when Candidate e-signs application
Given I am a candidate on the application e-sign page
When I e-sign my application
Then the system will send me the status change email"		<eol>
								"10.40.190.1410.c
"	"Scenario: Status change Email sent when Candidate e-signs completion of all assessments
Given I am an applicant on the e-sign page for assessments
When I e-sign for completion of all assessments
Then the system will send me the status change email"		<eol>
CEN-167	122968	Story	mpatel	Closed	CEN Sprint 6	10.40.20	Application allows user to specify interest in Supervisory positions (Section B/Page 4)	10.40.20.86.a	"Scenario: Supervisory Position question
Given I am on the Application
Then I must see this section"		<eol>
								10.40.20.86.b	"Scenario: Profile Status
Given I am on the Application
And I want to skip section
Then I must submit with no section selection"		<eol>
								10.40.20.86.c	"Scenario: Profile Status
Given I am on the Application
And I make section selection
Then I must see selection made"		<eol>
CEN-177	122978	Story	mpatel	Closed	CEN Sprint 7	10.40.40	Application - Candidate specifies how they found out about job and education(Section F-G Page 9)	10.40.40.88.a	"Scenario: Profile Status
Given I am on the Application
Then I must see this section"		<eol>
								10.40.40.88.b	"Scenario: Profile Status
Given I am on the Application
And I want to skip section
Then I must submit with no section selection"		<eol>
								10.40.40.88.c	"Scenario: Profile Status
Given I am on the Application
And I make section selection
Then I must see selection made"		<eol>
